ID_Prueba,Ticker,Fecha,Precio de señal de compra,Valor de RSI (cierre),MACD,Institutional_Index,Accuracy,Precision,Recall,F1-Score,AUC-ROC
4ee95689,NOW,2025-01-30 00:00:00,1012.75,30.756660409684244,10.689821609690398,4,0.9696969696969696,1.0,0.6666666666666666,0.8,0.9944444444444444
4ee95689,NOW,2025-01-31 00:00:00,1018.38,32.51175615732144,3.5545826441750705,2,0.9696969696969696,1.0,0.6666666666666666,0.8,0.9944444444444444
613dde34,TMO,2025-01-15 00:00:00,551.47,67.06638527456224,5.39428601632676,1,0.9393939393939394,0.0,1.0,0.0,
613dde34,TMO,2025-01-30 00:00:00,606.74,77.16923643434731,14.457769584470384,1,0.9393939393939394,0.0,1.0,0.0,
3721488e,MS,2025-01-16 00:00:00,135.81,74.76082854032586,0.6604189614195377,2,1.0,1.0,1.0,1.0,1.0
5d786439,QCOM,2025-02-06 00:00:00,169.32,47.86325429737781,3.3913201849877908,2,1.0,1.0,1.0,1.0,1.0
b2c5a048,QCOM,2025-02-06 00:00:00,169.32,47.86325429737781,3.3913201849877908,2,1.0,1.0,1.0,1.0,1.0
7e56e6e5,QCOM,2025-02-06 00:00:00,169.32,47.86325429737781,3.3913201849877908,2,1.0,1.0,1.0,1.0,1.0
91046b0b,QCOM,2025-02-06 00:00:00,169.32,47.86325429737781,3.3913201849877908,2,1.0,1.0,1.0,1.0,1.0
fe6debd4,QCOM,2025-02-06 00:00:00,169.32,47.86325429737781,3.3913201849877908,2,1.0,1.0,1.0,1.0,1.0
4f25f0a1,QCOM,2025-01-30 00:00:00,258.27,91.50005518172495,3.350113343319407,3,1.0,1.0,1.0,1.0,1.0
